trial_number,trial_id,state,obj_accuracy_min,obj_inference_ms,obj_model_params,accuracy,val_accuracy,test_accuracy,noisy_accuracy,inference_ms,model_params,n_conv_layers,conv_channels_l1,n_fc_layers,hidden_units_l1,input_resolution,dropout,learning_rate,batch_size,epochs,optimizer,hidden_units_l2,conv_channels_l2
27,trial_0027,TrialState.COMPLETE,0.245,0.2619109968749811,86426.0,0.755,0.755,0.7494,0.7164,0.2619109968749811,86426,2,24,1,32,28,0.0537658707755897,0.0001240544980706845,32,3,sgd,,48.0
28,trial_0028,TrialState.COMPLETE,0.2005,0.2363979062501187,20514.0,0.7995,0.7995,0.8086,0.618,0.2363979062501187,20514,2,32,1,128,16,0.06546237714628181,0.000174839880726381,32,3,adam,,8.0
29,trial_0029,TrialState.COMPLETE,0.648,0.1397733183593708,179474.0,0.352,0.352,0.35,0.3126,0.1397733183593708,179474,2,48,2,128,28,0.31543888448981233,0.0001675105592872503,128,2,sgd,128.0,24.0
30,trial_0030,TrialState.COMPLETE,0.7455,0.14376781757809987,64890.0,0.2545,0.2545,0.2466,0.2374,0.14376781757809987,64890,2,32,2,64,28,0.37891333584472614,0.00016846846429219897,128,2,sgd,128.0,16.0
31,trial_0031,TrialState.COMPLETE,0.16749999999999998,0.21127968281238196,38378.0,0.8325,0.8325,0.8206,0.6908,0.21127968281238196,38378,2,16,1,64,16,0.20753522285042886,0.0007471116585141003,32,5,sgd,,32.0
32,trial_0032,TrialState.COMPLETE,0.268,0.17658292421875998,66442.0,0.732,0.732,0.7262,0.6946,0.17658292421875998,66442,1,16,1,64,16,0.36593836042724004,0.0003430044314610247,64,4,sgd,,
33,trial_0033,TrialState.COMPLETE,0.137,0.19353141093745307,198314.0,0.863,0.863,0.8514,0.7024,0.19353141093745307,198314,1,24,1,128,16,0.18882677804399972,0.0006828712734111329,64,4,adam,,
34,trial_0034,TrialState.COMPLETE,0.638,0.1406549757812403,41178.0,0.362,0.362,0.3724,0.3172,0.1406549757812403,41178,2,32,2,32,28,0.09527311241869062,0.00014024487343267434,128,5,sgd,256.0,16.0
35,trial_0035,TrialState.COMPLETE,0.16949999999999998,0.1579889304687665,265162.0,0.8305,0.8305,0.8232,0.7224,0.1579889304687665,265162,1,16,1,256,16,0.103769373372517,0.00036379081212858905,128,3,adam,,
36,trial_0036,TrialState.COMPLETE,0.277,0.14257496757812405,53066.0,0.723,0.723,0.7166,0.7264,0.14257496757812405,53066,1,8,2,32,28,0.21027607292107434,0.00017930447231593216,128,2,adam,64.0,
37,trial_0037,TrialState.COMPLETE,0.31200000000000006,0.2085625437500127,14274.0,0.688,0.688,0.6872,0.6756,0.2085625437500127,14274,2,16,1,32,28,0.2952134465705482,0.00013252678799513488,32,3,sgd,,8.0
38,trial_0038,TrialState.COMPLETE,0.13649999999999995,0.14293761328123544,804618.0,0.8635,0.8635,0.8584,0.7324,0.14293761328123544,804618,1,32,1,128,28,0.13369755632678434,0.0013763560673020895,128,3,adam,,
39,trial_0039,TrialState.COMPLETE,0.15549999999999997,0.18386802343748343,133994.0,0.8445,0.8445,0.841,0.6348,0.18386802343748343,133994,1,8,1,256,16,0.21676037895134326,0.0019473627052307035,64,4,adam,,
40,trial_0040,TrialState.COMPLETE,0.14700000000000002,0.17241754531243103,166986.0,0.853,0.853,0.845,0.7506,0.17241754531243103,166986,1,16,2,128,16,0.3448170603957254,0.0017680798195272272,64,4,adam,256.0,
41,trial_0041,TrialState.COMPLETE,0.139,0.1843147601562123,1273130.0,0.861,0.861,0.8406,0.7244,0.1843147601562123,1273130,1,24,2,256,28,0.2115748536108848,0.0024384668566783713,64,5,sgd,256.0,
42,trial_0042,TrialState.COMPLETE,0.268,0.2151227406249845,36962.0,0.732,0.732,0.7208,0.653,0.2151227406249845,36962,2,16,1,256,16,0.2718589130772279,0.00021008132925974358,32,3,sgd,,8.0
43,trial_0043,TrialState.COMPLETE,0.18200000000000005,0.25409635312492185,156362.0,0.818,0.818,0.8288,0.7494,0.25409635312492185,156362,1,24,2,32,28,0.3535143539853703,0.0023464030614896753,32,5,adam,128.0,
44,trial_0044,TrialState.COMPLETE,0.6639999999999999,0.16584540976563034,41722.0,0.336,0.336,0.3602,0.3472,0.16584540976563034,41722,2,32,2,32,16,0.032418486363059176,0.0002114644112372407,128,3,sgd,64.0,48.0
45,trial_0045,TrialState.COMPLETE,0.257,0.14581372578126306,162922.0,0.743,0.743,0.7318,0.65,0.14581372578126306,162922,2,48,2,256,16,0.13404754170365676,0.0012538680853092774,128,4,sgd,64.0,32.0
46,trial_0046,TrialState.COMPLETE,0.1965,0.21036075624998318,203130.0,0.8035,0.8035,0.7992,0.6814,0.21036075624998318,203130,2,8,1,256,16,0.1203854267787265,0.0011118752015101757,64,4,sgd,,48.0
47,trial_0047,TrialState.COMPLETE,0.16000000000000003,0.16440733593743317,103562.0,0.84,0.84,0.8232,0.716,0.16440733593743317,103562,2,8,1,64,28,0.2774728903125955,0.00021188659768137282,64,3,adam,,32.0
48,trial_0048,TrialState.COMPLETE,0.15549999999999997,0.14343903789066914,119722.0,0.8445,0.8445,0.8568,0.8096,0.14343903789066914,119722,1,8,2,64,28,0.07421020628124846,0.0019189415375617004,128,5,adam,256.0,
49,trial_0049,TrialState.COMPLETE,0.1985,0.18178887734379146,50634.0,0.8015,0.8015,0.7952,0.779,0.18178887734379146,50634,1,8,1,32,28,0.10759736177403907,0.001506924519529966,64,2,sgd,,
50,trial_0050,TrialState.COMPLETE,0.19099999999999995,0.16515259257809944,42538.0,0.809,0.809,0.818,0.7156,0.16515259257809944,42538,2,16,2,64,16,0.14970831830244813,0.0003430044314610247,128,5,adam,64.0,32.0
51,trial_0051,TrialState.COMPLETE,0.15300000000000002,0.1637560542969041,152234.0,0.847,0.847,0.8356,0.8048,0.1637560542969041,152234,1,24,2,32,28,0.21027607292107434,0.0023464030614896753,128,5,adam,32.0,
52,trial_0052,TrialState.COMPLETE,0.22599999999999998,0.24828204843778678,16842.0,0.774,0.774,0.7708,0.6956,0.24828204843778678,16842,1,8,1,32,16,0.2148426167274191,0.000735928273909333,32,3,sgd,,
53,trial_0053,TrialState.COMPLETE,0.21850000000000003,0.23068840312490124,39322.0,0.7815,0.7815,0.7658,0.6764,0.23068840312490124,39322,2,8,2,32,16,0.2148426167274191,0.0011054785278893486,32,3,sgd,256.0,48.0
54,trial_0054,TrialState.COMPLETE,0.1915,0.2459962265625393,51490.0,0.8085,0.8085,0.8028,0.6928,0.2459962265625393,51490,2,16,2,256,16,0.103769373372517,0.00036379081212858905,32,2,adam,64.0,8.0
55,trial_0055,TrialState.COMPLETE,0.22250000000000003,0.2261308781250193,138794.0,0.7775,0.7775,0.7502,0.6714,0.2261308781250193,138794,2,16,1,256,16,0.02414083359622552,0.00021008132925974358,32,3,sgd,,32.0
56,trial_0056,TrialState.COMPLETE,0.17800000000000005,0.21157491874994605,23666.0,0.822,0.822,0.8298,0.652,0.21157491874994605,23666,2,48,1,32,16,0.20753522285042886,0.0007471116585141003,32,5,sgd,,24.0
57,trial_0057,TrialState.COMPLETE,0.6555,0.1408679445312977,60618.0,0.3445,0.3445,0.346,0.32,0.1408679445312977,60618,2,16,2,32,28,0.2952134465705482,0.00013252678799513488,128,3,sgd,128.0,32.0
58,trial_0058,TrialState.COMPLETE,0.4655,0.15226224960942503,36962.0,0.5345,0.5345,0.5472,0.4902,0.15226224960942503,36962,2,16,1,256,16,0.37891333584472614,0.00035323948516928396,128,2,sgd,,8.0
59,trial_0059,TrialState.COMPLETE,0.21150000000000002,0.14929513437493824,26498.0,0.7885,0.7885,0.7752,0.759,0.14929513437493824,26498,2,8,1,64,28,0.09527311241869062,0.00021188659768137282,128,3,adam,,8.0
