trial_number,trial_id,state,obj_accuracy_min,obj_inference_ms,obj_model_params,accuracy,val_accuracy,test_accuracy,noisy_accuracy,inference_ms,model_params,n_conv_layers,conv_channels_l1,n_fc_layers,hidden_units_l1,input_resolution,dropout,learning_rate,batch_size,epochs,optimizer,hidden_units_l2,conv_channels_l2,is_pareto
27,trial_0027,TrialState.COMPLETE,0.245,0.2619109968749811,86426.0,0.755,0.755,0.7494,0.7164,0.2619109968749811,86426,2,24,1,32,28,0.0537658707755897,0.0001240544980706,32,3,sgd,,48.0,False
28,trial_0028,TrialState.COMPLETE,0.2005,0.2363979062501187,20514.0,0.7995,0.7995,0.8086,0.618,0.2363979062501187,20514,2,32,1,128,16,0.0654623771462818,0.0001748398807263,32,3,adam,,8.0,False
29,trial_0029,TrialState.COMPLETE,0.648,0.1397733183593708,179474.0,0.352,0.352,0.35,0.3126,0.1397733183593708,179474,2,48,2,128,28,0.3154388844898123,0.0001675105592872,128,2,sgd,128.0,24.0,True
30,trial_0030,TrialState.COMPLETE,0.7455,0.1437678175780998,64890.0,0.2545,0.2545,0.2466,0.2374,0.1437678175780998,64890,2,32,2,64,28,0.3789133358447261,0.0001684684642921,128,2,sgd,128.0,16.0,True
31,trial_0031,TrialState.COMPLETE,0.1674999999999999,0.2112796828123819,38378.0,0.8325,0.8325,0.8206,0.6908,0.2112796828123819,38378,2,16,1,64,16,0.2075352228504288,0.0007471116585141,32,5,sgd,,32.0,False
32,trial_0032,TrialState.COMPLETE,0.268,0.1765829242187599,66442.0,0.732,0.732,0.7262,0.6946,0.1765829242187599,66442,1,16,1,64,16,0.36593836042724,0.000343004431461,64,4,sgd,,,False
33,trial_0033,TrialState.COMPLETE,0.137,0.193531410937453,198314.0,0.863,0.863,0.8514,0.7024,0.193531410937453,198314,1,24,1,128,16,0.1888267780439997,0.0006828712734111,64,4,adam,,,False
34,trial_0034,TrialState.COMPLETE,0.638,0.1406549757812403,41178.0,0.362,0.362,0.3724,0.3172,0.1406549757812403,41178,2,32,2,32,28,0.0952731124186906,0.0001402448734326,128,5,sgd,256.0,16.0,False
35,trial_0035,TrialState.COMPLETE,0.1694999999999999,0.1579889304687665,265162.0,0.8305,0.8305,0.8232,0.7224,0.1579889304687665,265162,1,16,1,256,16,0.103769373372517,0.0003637908121285,128,3,adam,,,False
36,trial_0036,TrialState.COMPLETE,0.277,0.142574967578124,53066.0,0.723,0.723,0.7166,0.7264,0.142574967578124,53066,1,8,2,32,28,0.2102760729210743,0.0001793044723159,128,2,adam,64.0,,False
37,trial_0037,TrialState.COMPLETE,0.312,0.2085625437500127,14274.0,0.688,0.688,0.6872,0.6756,0.2085625437500127,14274,2,16,1,32,28,0.2952134465705482,0.0001325267879951,32,3,sgd,,8.0,True
38,trial_0038,TrialState.COMPLETE,0.1364999999999999,0.1429376132812354,804618.0,0.8635,0.8635,0.8584,0.7324,0.1429376132812354,804618,1,32,1,128,28,0.1336975563267843,0.001376356067302,128,3,adam,,,False
39,trial_0039,TrialState.COMPLETE,0.1554999999999999,0.1838680234374834,133994.0,0.8445,0.8445,0.841,0.6348,0.1838680234374834,133994,1,8,1,256,16,0.2167603789513432,0.0019473627052307,64,4,adam,,,False
40,trial_0040,TrialState.COMPLETE,0.147,0.172417545312431,166986.0,0.853,0.853,0.845,0.7506,0.172417545312431,166986,1,16,2,128,16,0.3448170603957254,0.0017680798195272,64,4,adam,256.0,,False
41,trial_0041,TrialState.COMPLETE,0.139,0.1843147601562123,1273130.0,0.861,0.861,0.8406,0.7244,0.1843147601562123,1273130,1,24,2,256,28,0.2115748536108848,0.0024384668566783,64,5,sgd,256.0,,True
42,trial_0042,TrialState.COMPLETE,0.268,0.2151227406249845,36962.0,0.732,0.732,0.7208,0.653,0.2151227406249845,36962,2,16,1,256,16,0.2718589130772279,0.0002100813292597,32,3,sgd,,8.0,False
43,trial_0043,TrialState.COMPLETE,0.182,0.2540963531249218,156362.0,0.818,0.818,0.8288,0.7494,0.2540963531249218,156362,1,24,2,32,28,0.3535143539853703,0.0023464030614896,32,5,adam,128.0,,True
